--- STARTED NEW SESSION ---
Frame 0110 -> Crop: 0.06ms | Resize: 0.38ms | Bright: 0.39ms | Contrast: 0.83ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 1.83ms
Frame 0111 -> Crop: 0.04ms | Resize: 0.36ms | Bright: 0.38ms | Contrast: 0.90ms | Blur: 0.06ms | HSV Conv: 0.10ms | Total Preprocess: 1.85ms
Frame 0112 -> Crop: 0.05ms | Resize: 0.31ms | Bright: 0.36ms | Contrast: 0.85ms | Blur: 0.08ms | HSV Conv: 0.11ms | Total Preprocess: 1.75ms
Frame 0113 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.37ms | Contrast: 0.90ms | Blur: 0.07ms | HSV Conv: 0.11ms | Total Preprocess: 1.82ms
Frame 0114 -> Crop: 0.06ms | Resize: 0.42ms | Bright: 0.40ms | Contrast: 0.83ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 1.87ms
Frame 0115 -> Crop: 0.06ms | Resize: 0.29ms | Bright: 0.37ms | Contrast: 0.96ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 1.85ms
Frame 0116 -> Crop: 0.05ms | Resize: 0.29ms | Bright: 0.35ms | Contrast: 0.80ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 1.67ms
Frame 0117 -> Crop: 0.05ms | Resize: 0.30ms | Bright: 0.50ms | Contrast: 0.83ms | Blur: 0.06ms | HSV Conv: 0.11ms | Total Preprocess: 1.84ms
Frame 0118 -> Crop: 0.05ms | Resize: 0.30ms | Bright: 0.37ms | Contrast: 0.78ms | Blur: 0.08ms | HSV Conv: 0.11ms | Total Preprocess: 1.68ms
Frame 0119 -> Crop: 0.05ms | Resize: 0.30ms | Bright: 0.36ms | Contrast: 0.84ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 1.72ms
Frame 0120 -> Crop: 0.05ms | Resize: 0.40ms | Bright: 0.38ms | Contrast: 0.83ms | Blur: 0.08ms | HSV Conv: 0.10ms | Total Preprocess: 1.83ms
Frame 0121 -> Crop: 0.05ms | Resize: 0.31ms | Bright: 0.57ms | Contrast: 0.83ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 1.94ms
Frame 0122 -> Crop: 0.05ms | Resize: 0.31ms | Bright: 0.37ms | Contrast: 0.78ms | Blur: 0.08ms | HSV Conv: 0.09ms | Total Preprocess: 1.68ms
Frame 0123 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.40ms | Contrast: 0.85ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 1.80ms
Frame 0124 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.35ms | Contrast: 0.83ms | Blur: 0.06ms | HSV Conv: 0.14ms | Total Preprocess: 1.76ms
Frame 0125 -> Crop: 0.05ms | Resize: 0.44ms | Bright: 0.39ms | Contrast: 0.87ms | Blur: 0.06ms | HSV Conv: 0.10ms | Total Preprocess: 1.90ms
Frame 0126 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.49ms | Contrast: 0.85ms | Blur: 0.06ms | HSV Conv: 0.11ms | Total Preprocess: 1.88ms
Frame 0127 -> Crop: 0.09ms | Resize: 0.29ms | Bright: 0.36ms | Contrast: 0.80ms | Blur: 0.06ms | HSV Conv: 0.10ms | Total Preprocess: 1.70ms
Frame 0128 -> Crop: 0.05ms | Resize: 0.42ms | Bright: 0.39ms | Contrast: 0.84ms | Blur: 0.08ms | HSV Conv: 0.10ms | Total Preprocess: 1.88ms
Frame 0129 -> Crop: 0.05ms | Resize: 0.34ms | Bright: 0.39ms | Contrast: 0.84ms | Blur: 0.14ms | HSV Conv: 0.10ms | Total Preprocess: 1.85ms
Frame 0130 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.38ms | Contrast: 0.85ms | Blur: 0.08ms | HSV Conv: 0.11ms | Total Preprocess: 1.78ms
